File_Name,Variant,Raw_OCR,Final_Plate,Conf_0to1,Score,Casts,StructScore,AnchorBonus
100.png,RAW,RJ45CK4748,RJ45CK4748,0.973515,1.135433,0,1.0,0.15
1000.png,RAW,RJ14CG-6581,RJ14CG6581,0.951473,1.12331,0,1.0,0.15
1001.png,RAW,FRJ14CK8305,RJ14CK8305,0.947449,1.121097,0,1.0,0.15
101.png,RAW,RJ14CZ0391,RJ14CZ0391,0.957836,1.12681,0,1.0,0.15
102.png,RAW,RJ45CH4583,RJ45CH4583,0.988873,1.14388,0,1.0,0.15
103.png,RAW,FRJ45CJ9969,RJ45CJ9969,0.956744,1.126209,0,1.0,0.15
104.png,RAW,RJ14LC6763,RJ14LC6763,0.933016,1.113159,0,1.0,0.15
105.png,RAW,RJ31CF7171,RJ31CF7171,0.980191,1.139105,0,1.0,0.15
106.png,RAW,-RJ08CA6767,RJ08CA6767,0.885764,1.08717,0,1.0,0.15
107.png,RAW,RJ45CH9693,RJ45CH9693,0.932947,1.113121,0,1.0,0.15
108.png,RAW,RJ45CK7827,RJ45CK7827,0.987438,1.143091,0,1.0,0.15
109.png,RAW,RJ45CQ1702,RJ45CQ1702,0.968408,1.132624,0,1.0,0.15
111.png,RAW,RJ14CF 9928,RJ14CF9928,0.958835,1.127359,0,1.0,0.15
112.png,RAW,-RJ45CQ9137,RJ45CQ9137,0.895622,1.092592,0,1.0,0.15
113.png,RAW,RS14CY6039,RJR5I4CY60,0.955306,0.755418,2,0.6,0.0
114.png,RAW,RJ14 CG 9094,RJ14CG9094,0.95733,1.126532,0,1.0,0.15
115.png,RAW,FRJ14VC0628,RJ14VC0628,0.963137,1.129725,0,1.0,0.15
116.png,RAW,RJ14CD 4810,RJ14CD4810,0.944131,1.119272,0,1.0,0.15
118.png,RAW,RJ14XC6909,RJ14XC6909,0.966733,1.131703,0,1.0,0.15
119.png,,,,0,0,0,0,0
120.png,RAW,RJ45CN2934,RJ45CN2934,0.991377,1.145257,0,1.0,0.15
122.png,RAW,FRJ45C00611,RJ45CQ0611,0.905109,1.05781,2,1.0,0.15
123.png,RAW,FRJ14079165,RJ14O79165,0.935928,1.049761,1,0.9,0.15
124.png,,,,0,0,0,0,0
125.png,RAW,RJ45CV3753,RJ45CV3753,0.989971,1.144484,0,1.0,0.15
126.png,RAW,PRJ140C9780,RJ14QC9780,0.880478,1.044263,2,1.0,0.15
127.png,RAW,RJ14NC3966,RJ14NC3966,0.994823,1.147153,0,1.0,0.15
128.png,RAW,RJ45CU9366,RJ45CU9366,0.99641,1.148026,0,1.0,0.15
129.png,RAW,FRJ45CV2733,RJ45CV2733,0.923526,1.107939,0,1.0,0.15
130.png,RAW,RJ31CA9891,RJ31CA9891,0.9126,1.10193,0,1.0,0.15
132.png,RAW,FRJ45CJ2575,RJ45CJ2575,0.937997,1.115898,0,1.0,0.15
133.png,RAW,FRJ06U86992,RJ06UB6992,0.913078,1.082193,1,1.0,0.15
134.png,RAW,FRJ14CW2974,RJ14CW2974,0.893257,1.091291,0,1.0,0.15
135.png,RAW,RJ14 CJ 6981,RJ14CJ6981,0.868522,1.077687,0,1.0,0.15
136.png,RAW,RJ14UF3370,RJ14UF3370,0.990698,1.144884,0,1.0,0.15
138.png,RAW,RJ02CC3751,RJ02CC3751,0.955004,1.125252,0,1.0,0.15
139.png,RAW,RJ14 CK 8761,RJ14CK8761,0.9308,1.11194,0,1.0,0.15
140.png,RAW,~RJ14UG6680,RJ14UG6680,0.948659,1.121762,0,1.0,0.15
141.png,RAW,RJ14CN6911,RJ14CN6911,0.982894,1.140592,0,1.0,0.15
142.png,RAW,RJ14 CF 3202,RJ14CF3202,0.997475,1.148611,0,1.0,0.15
143.png,RAW,RJ14CF6174,RJ14CF6174,0.976265,1.136946,0,1.0,0.15
144.png,RAW,RJ45CE6928,RJ45CE6928,0.989131,1.144022,0,1.0,0.15
145.png,RAW,RJ14CQ9643,RJ14CQ9643,0.941021,1.117562,0,1.0,0.15
147.png,RAW,RJ148C8504,RJ14BC8504,0.978987,1.118443,1,1.0,0.15
148.png,RAW,RJI4CR 9968,RJ14CR9968,0.913828,1.082605,1,1.0,0.15
149.png,,,,0,0,0,0,0
151.png,RAW,RJ45CE 9024,RJ45CE9024,0.951616,1.123389,0,1.0,0.15
152.png,RAW,FRJ14CU9485,RJ14CU9485,0.952401,1.123821,0,1.0,0.15
153.png,RAW,FRJ45CH3914,RJ45CH3914,0.965409,1.130975,0,1.0,0.15
154.png,RAW,RJ52.CA.1525,RJ52CA1525,0.989237,1.144081,0,1.0,0.15
155.png,RAW,FRJ14UE5266,RJ14UE5266,0.93932,1.116626,0,1.0,0.15
156.png,RAW,RJ14 CD 7282,RJ14CD7282,0.940001,1.117001,0,1.0,0.15
157.png,RAW,RJ14 9C0607,RJ149C0607,0.94266,1.073463,0,0.9,0.15
158.png,RAW,RJ14CF4576,RJ14CF4576,0.986216,1.142419,0,1.0,0.15
159.png,RAW,RJ45CH7751,RJ45CH7751,0.990428,1.144736,0,1.0,0.15
160.png,RAW,RJ45CE2359,RJ45CE2359,0.981953,1.140074,0,1.0,0.15
161.png,RAW,RJ14 CD 9828,RJ14CD9828,0.943619,1.11899,0,1.0,0.15
162.png,RAW,RJ14AC3406,RJ14AC3406,0.982915,1.140603,0,1.0,0.15
163.png,RAW,RJ14NC3420,RJ14NC3420,0.942566,1.118411,0,1.0,0.15
164.png,RAW,-RJ140C7366,RJ14QC7366,0.948137,1.081475,2,1.0,0.15
165.png,RAW,RJ27CG 3450,RJ27CG3450,0.942205,1.118213,0,1.0,0.15
166.png,RAW,-RJ14LC6806,RJ14LC6806,0.927437,1.11009,0,1.0,0.15
167.png,RAW,RJ45CE9326,RJ45CE9326,0.993865,1.146626,0,1.0,0.15
168.png,RAW,RJ14CJ7361,RJ14CJ7361,0.981825,1.140004,0,1.0,0.15
169.png,RAW,RJ140C9911,RJ14QC9911,0.967659,1.092213,2,1.0,0.15
170.png,RAW,RJ45CM6548,RJ45CM6548,0.993989,1.146694,0,1.0,0.15
171.png,RAW,RJ14 CQ 5181,RJ14CQ5181,0.99643,1.148036,0,1.0,0.15
172.png,RAW,RJ14CZ5978,RJ14CZ5978,0.974651,1.136058,0,1.0,0.15
