File_Name,Variant,Raw_OCR,Final_Plate,Conf_0to1,Score,Casts,StructScore,AnchorBonus
100.png,RAW,RJ45 CK4748,RJ45CK4748,0.946229,1.120426,0,1.0,0.15
1000.png,RAW,RJ14CG6581,RJ14CG6581,0.998811,1.149346,0,1.0,0.15
1001.png,RAW,RJ14CK0305,RJ14CK0305,0.930626,1.111844,0,1.0,0.15
101.png,RAW,"""RJ14CZ0391",RJ14CZ0391,0.926076,1.109342,0,1.0,0.15
102.png,RAW,RJ45CH4583,RJ45CH4583,0.994749,1.147112,0,1.0,0.15
103.png,RAW,RJ45CJ9969,RJ45CJ9969,0.953035,1.124169,0,1.0,0.15
104.png,RAW,RJ14LC6763,RJ14LC6763,0.982615,1.140438,0,1.0,0.15
105.png,RAW,FRJ31CF7171,RJ31CF7171,0.930726,1.111899,0,1.0,0.15
106.png,RAW,RJ08CA6767,RJ08CA6767,0.959378,1.127658,0,1.0,0.15
107.png,RAW,-RJ45CN9693,RJ45CN9693,0.936541,1.115098,0,1.0,0.15
108.png,RAW,RJ45CK7827,RJ45CK7827,0.994072,1.14674,0,1.0,0.15
109.png,RAW,FRJ45CQ1702,RJ45CQ1702,0.97766,1.137713,0,1.0,0.15
111.png,RAW,RJ14 CF 9928,RJ14CF9928,0.97581,1.136696,0,1.0,0.15
112.png,RAW,RJ45C09137,RJ45CQ9137,0.988101,1.103455,2,1.0,0.15
113.png,RAW,RJ14CY6039,RJ14CY6039,0.966995,1.131847,0,1.0,0.15
114.png,RAW,9094,RJ90940000,0.998596,0.909228,0,0.8,0.0
115.png,RAW,RJ14VC0628,RJ14VC0628,0.945027,1.119765,0,1.0,0.15
116.png,RAW,RJ14 CD 4810,RJ14CD4810,0.99869,1.14928,0,1.0,0.15
118.png,RAW,RJ14XC6909,RJ14XC6909,0.973692,1.135531,0,1.0,0.15
119.png,RAW,RJ01CB7236,RJ01CB7236,0.945273,1.1199,0,1.0,0.15
120.png,RAW,RJ45CN2934,RJ45CN2934,0.983743,1.141059,0,1.0,0.15
122.png,RAW,RJ45C00611,RJ45CQ0611,0.863521,1.034937,2,1.0,0.15
123.png,RAW,PRJ14C79165,RJ14C79165,0.898215,1.049018,0,0.9,0.15
124.png,RAW,RJ46CJ5889,RJ46CJ5889,0.800583,1.04032,0,1.0,0.15
125.png,RAW,RJ45CV3753,RJ45CV3753,0.951591,1.123375,0,1.0,0.15
126.png,RAW,-RJ14009780,RJ14OO9780,0.835271,1.019399,2,1.0,0.15
127.png,RAW,RJ14NC3966,RJ14NC3966,0.990186,1.144602,0,1.0,0.15
128.png,RAW,RJ45CU9366,RJ45CU9366,0.993908,1.146649,0,1.0,0.15
129.png,RAW,FRJ45CV2733,RJ45CV2733,0.871386,1.079262,0,1.0,0.15
130.png,RAW,FRJ31CA9891,RJ31CA9891,0.911291,1.10121,0,1.0,0.15
132.png,RAW,-RJ45CJ2575,RJ45CJ2575,0.903905,1.097148,0,1.0,0.15
133.png,RAW,FRJOGU86992,RJ0GUB6992,0.866134,0.991374,2,0.9,0.15
134.png,RAW,FRJ4CW2974,RJ4CWZ9740,0.84409,0.99925,1,0.9,0.15
135.png,RAW,RJ14CJ6981,RJ14CJ6981,0.983795,1.141087,0,1.0,0.15
136.png,RAW,RJ14UF3370,RJ14UF3370,0.984601,1.141531,0,1.0,0.15
138.png,RAW,RJO2CC3751,RJ02CC3751,0.932322,1.092777,1,1.0,0.15
139.png,RAW,RJ 14 CK 8761,RJ14CK8761,0.947758,1.121267,0,1.0,0.15
140.png,RAW,-RJ14UG6680,RJ14UG6680,0.961204,1.128662,0,1.0,0.15
141.png,RAW,RJ14CN6911,RJ14CN6911,0.969364,1.13315,0,1.0,0.15
142.png,RAW,RJ14 CF 3202,RJ14CF3202,0.983462,1.140904,0,1.0,0.15
143.png,RAW,RJ14CF6174,RJ14CF6174,0.995749,1.147662,0,1.0,0.15
144.png,RAW,RJ45CE6928,RJ45CE6928,0.991599,1.145379,0,1.0,0.15
145.png,RAW,RJ14CQ9643,RJ14CQ9643,0.945783,1.120181,0,1.0,0.15
147.png,RAW,RJ148C8504,RJ14BC8504,0.981824,1.120003,1,1.0,0.15
148.png,RAW,RJI4CR9968,RJ14CR9968,0.943729,1.099051,1,1.0,0.15
149.png,RAW,RJ45CJ4172,RJ45CJ4172,0.991036,1.14507,0,1.0,0.15
151.png,RAW,RJ45 0E9024,RJ45OE9024,0.899393,1.074666,1,1.0,0.15
152.png,RAW,FRJ14CU9485,RJ14CU9485,0.824638,1.053551,0,1.0,0.15
153.png,RAW,PRJ45CH3914,RJ45CH3914,0.924775,1.108626,0,1.0,0.15
154.png,RAW,RJ52.CA.1525,RJ52CA1525,0.999634,1.149799,0,1.0,0.15
155.png,RAW,-RJ14UE5266,RJ14UE5266,0.930577,1.111817,0,1.0,0.15
156.png,RAW,RJ14 CD 7282,RJ14CD7282,0.995586,1.147572,0,1.0,0.15
157.png,RAW,RJ149C0607,RJ149C0607,0.987394,1.098066,0,0.9,0.15
158.png,RAW,RJ14CF4576,RJ14CF4576,0.997781,1.14878,0,1.0,0.15
159.png,RAW,RJ45CH7751,RJ45CH7751,0.990489,1.144769,0,1.0,0.15
160.png,RAW,RJ45CE2359,RJ45CE2359,0.993096,1.146203,0,1.0,0.15
161.png,RAW,RJ140D9828,RJ14OD9828,0.95441,1.104926,1,1.0,0.15
162.png,RAW,RJ14AC3406,RJ14AC3406,0.956578,1.126118,0,1.0,0.15
163.png,RAW,IND,RJ1NDO0000,0.997704,0.913737,2,0.9,0.0
164.png,RAW,~RJ140C7366,RJ14QC7366,0.943768,1.079072,2,1.0,0.15
165.png,RAW,RJ27 CG 3450,RJ27CG3450,0.95096,1.123028,0,1.0,0.15
166.png,RAW,~RJ14LC6806,RJ14LC6806,0.959802,1.127891,0,1.0,0.15
